,occurTime,age,occupation,isRock,occurMonth,mahal
596,0,10,2,0,3,16.787963370510706
597,0,10,2,0,3,16.787963370510706
598,21,10,4,0,5,12.959620885999195
599,19,10,1,0,5,11.901658679015943
600,16,10,2,0,7,10.393880178679451
601,7,70,4,0,10,50.56178679230278
602,16,20,4,0,12,6.047301644497471
603,9,30,4,0,9,11.110308411381121
604,20,20,4,0,6,7.213372662544589
605,21,40,4,0,4,21.883085987155518
606,18,20,4,0,12,7.264082063046791
607,15,70,4,0,1,50.50629313910522
608,14,10,2,0,7,9.991782329975432
609,18,30,4,0,8,11.409224206343215
610,9,20,4,0,9,4.62759781074699
611,20,50,4,0,1,31.501264121541464
612,8,40,4,0,4,20.942510608015848
613,18,10,2,0,9,11.33755562592329
614,12,10,4,0,4,10.435992437291324
615,18,10,1,0,5,11.425890065645973
616,23,10,1,0,3,14.755783612775202
617,16,40,4,0,4,20.57612389939858
618,10,10,1,0,8,10.5464888318443
619,5,40,4,0,12,22.2381377246442
620,8,10,2,0,1,12.582267161490872
621,20,20,4,0,3,8.158869904846577
622,7,10,2,0,4,11.944895078990765
623,7,20,4,0,6,6.144269152174213
624,8,10,2,0,7,11.101559395517386
625,7,20,4,0,7,6.075132845944284
626,6,40,4,0,7,21.303927022318078
627,8,10,4,0,8,11.186449785297164
628,7,10,2,0,8,11.631908750250048
629,0,30,4,0,12,17.23420727403576
630,16,10,2,0,12,11.567572069207216
631,17,10,2,0,10,11.162295809234234
632,7,10,2,0,10,11.983809600338558
633,8,70,4,0,3,50.512438363033645
634,7,10,3,0,12,12.621034226751036
635,7,10,2,0,11,12.278716879978871
636,8,10,4,0,11,11.857581787342198
637,18,40,4,0,7,20.76149062102893
638,7,10,2,0,11,12.278716879978871
639,16,20,3,0,9,3.7061906430155247
640,16,10,4,0,12,11.599377814415998
641,7,20,4,0,12,7.9172733629342655
642,0,30,4,0,5,16.581059392989545
643,11,50,4,0,5,30.250021228175164
644,20,10,2,0,6,12.217676193348174
645,19,10,3,0,10,12.006760588294247
646,20,10,2,0,11,12.847084882301669
647,18,10,4,0,7,11.178846913396079
648,18,10,2,0,3,11.815624972122126
649,7,10,2,0,12,12.646030361350139
650,22,10,2,0,4,13.753481422593339
651,21,60,4,0,5,40.96429214570545
652,23,70,4,0,9,51.15579474763209
653,7,10,2,0,11,12.278716879978871
654,6,10,2,0,1,13.495051533210061
655,19,10,1,0,6,11.78153958501634
656,8,10,2,0,8,11.153466577423892
657,8,10,2,0,12,12.207399371682639
658,8,10,2,0,5,11.266509204237904
659,14,10,4,0,1,11.64651802668092
660,20,10,4,0,2,13.16767522931531
661,15,10,2,0,5,10.325881961660926
662,8,10,4,0,7,11.134696363954587
663,15,10,4,0,9,10.391412950964057
664,20,20,3,0,10,7.699682255921989
665,15,10,2,0,12,11.345052139886127
666,9,10,2,0,6,10.732564504826282
667,8,10,2,0,6,11.139543317869403
668,13,30,4,0,1,11.772486976938515
669,19,10,1,0,9,11.927709840444702
670,6,20,4,0,7,7.057529566094849
671,9,50,4,0,7,30.383830315299857
672,15,20,4,0,6,2.557375133003534
673,19,10,2,0,4,11.994277997566824
674,8,10,2,0,5,11.266509204237904
675,19,10,2,0,6,11.669322861500515
676,8,10,2,0,6,11.139543317869403
677,9,10,1,0,8,10.868758492148421
678,8,10,2,0,11,11.826470468328505
679,8,10,2,0,10,11.519991669126101
680,7,10,2,0,6,11.618558852591002
681,16,40,4,0,3,20.741785820943434
682,10,10,2,0,8,10.420981131009121
683,11,10,2,0,12,11.327671692738194
684,22,10,4,0,3,14.026400025144435
685,7,10,2,0,5,11.740345571132446
686,8,10,2,0,10,11.519991669126101
687,10,30,4,0,5,10.766461154415055
688,15,70,4,0,5,50.194685270248215
